dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1640995200,2022-01-01 00:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,49.91,10000,45.9,48.11,47.95,52.14,1014,,,86,5.01,198,8.01,,,,,100,804,Clouds,overcast clouds,04n
1640998800,2022-01-01 01:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,49.91,10000,46.2,48.76,47.95,52.14,1014,,,87,4,198,8.01,,,,,100,804,Clouds,overcast clouds,04n
1641002400,2022-01-01 02:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.41,9656,46.08,49.15,48.96,52.14,1013,,,85,3.44,260,,,,,,100,721,Haze,haze,50n
1641006000,2022-01-01 03:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,49.75,10000,46.04,47.91,47.95,52.14,1013,,,87,5.01,146,5.99,,,,,100,804,Clouds,overcast clouds,04n
1641009600,2022-01-01 04:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,49.75,10000,46.35,47.91,47.95,52.14,1013,,,88,5.01,167,5.01,,,,,100,804,Clouds,overcast clouds,04n
1641013200,2022-01-01 05:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,49.73,,46.62,47.89,47.97,51.94,1013,,,89,5.01,150,7,,,,,100,804,Clouds,overcast clouds,04n
1641016800,2022-01-01 06:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,49.48,,46.38,47.61,47.95,51.94,1013,,,89,5.01,149,15.01,,,,,100,804,Clouds,overcast clouds,04n
1641020400,2022-01-01 07:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.05,10000,46.94,48.94,48.94,52.14,1012,,,89,3,132,3,0.68,,,,100,500,Rain,light rain,10n
1641024000,2022-01-01 08:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.32,10000,46.9,49.19,48.96,52.14,1012,,,88,5.01,94,8.01,,,,,100,804,Clouds,overcast clouds,04n
1641027600,2022-01-01 09:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,49.23,10000,46.13,45.09,48.15,50.95,1011,,,89,10,119,11.99,,,,,100,500,Rain,light rain,10n
1641031200,2022-01-01 10:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,49.77,9656,47.25,47.39,48.15,50.95,1011,,,91,5.99,123,11.01,,,,,100,701,Mist,mist,50n
1641034800,2022-01-01 11:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.14,6437,47.34,49.08,48.94,52.14,1010,,,90,10,159,13,0.25,,,,100,500,Rain,light rain,10n
1641034800,2022-01-01 11:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.14,6437,47.34,49.08,48.94,52.14,1010,,,90,10,159,13,0.25,,,,100,701,Mist,mist,50n
1641038400,2022-01-01 12:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.63,8047,48.11,49.68,48.96,52.14,1010,,,91,5.01,180,5.01,0.25,,,,100,500,Rain,light rain,10n
1641038400,2022-01-01 12:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.63,8047,48.11,49.68,48.96,52.14,1010,,,91,5.01,180,5.01,0.25,,,,100,701,Mist,mist,50n
1641042000,2022-01-01 13:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.54,4828,47.71,49.53,49.95,52.14,1010,,,90,11.99,128,15.01,0.85,,,,100,701,Mist,mist,50d
1641042000,2022-01-01 13:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.54,4828,47.71,49.53,49.95,52.14,1010,,,90,11.99,128,15.01,0.85,,,,100,501,Rain,moderate rain,10d
1641045600,2022-01-01 14:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,50.54,10000,47.71,49.53,49.95,52.14,1010,,,90,8.01,152,11.01,0.64,,,,100,500,Rain,light rain,10d
1641049200,2022-01-01 15:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,51.89,,49.35,51.06,50.97,52.95,1011,,,91,8.01,196,21,0.42,,,,100,500,Rain,light rain,10d
1641052800,2022-01-01 16:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,52.81,10000,50.25,52.07,51.15,53.94,1010,,,91,11.99,136,20,0.38,,,,100,500,Rain,light rain,10d
1641056400,2022-01-01 17:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,53.53,10000,50.97,52.86,51.15,54.95,1008,,,91,6.91,250,,0.38,,,,100,500,Rain,light rain,10d
1641060000,2022-01-01 18:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,54.63,10000,52.05,54.07,51.98,55.17,1008,,,91,8.99,200,15.99,0.36,,,,100,500,Rain,light rain,10d
1641063600,2022-01-01 19:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,54.48,8047,52.21,53.96,52.95,56.21,1007,,,92,5.01,186,8.01,0.25,,,,100,500,Rain,light rain,10d
1641063600,2022-01-01 19:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,54.48,8047,52.21,53.96,52.95,56.21,1007,,,92,5.01,186,8.01,0.25,,,,100,701,Mist,mist,50d
1641067200,2022-01-01 20:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,55.49,10000,54.09,55.2,54.97,56.95,1007,,,95,1.99,192,3,0.61,,,,100,500,Rain,light rain,10d
1641070800,2022-01-01 21:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,55.11,10000,52.23,54.55,53.15,56.95,1006,,,90,1.99,155,8.01,0.56,,,,100,500,Rain,light rain,10d
1641074400,2022-01-01 22:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,54.91,10000,52.03,54.34,52.99,56.16,1006,,,90,0,0,,0.25,,,,100,500,Rain,light rain,10n
1641078000,2022-01-01 23:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,54.39,8047,51.82,53.82,52.95,56.16,1006,,,91,3.44,300,,0.38,,,,100,500,Rain,light rain,10n
1641078000,2022-01-01 23:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,54.39,8047,51.82,53.82,52.95,56.16,1006,,,91,3.44,300,,0.38,,,,100,701,Mist,mist,50n
1641081600,2022-01-02 00:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,53.29,3219,50.74,52.59,52,55.22,1006,,,91,3.44,40,,0.85,,,,100,500,Rain,light rain,10n
1641081600,2022-01-02 00:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,53.29,3219,50.74,52.59,52,55.22,1006,,,91,3.44,40,,0.85,,,,100,701,Mist,mist,50n
1641085200,2022-01-02 01:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,52.43,4023,49.89,51.66,50.95,54.21,1006,,,91,4.61,100,,1.71,,,,100,501,Rain,moderate rain,10n
1641085200,2022-01-02 01:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,52.43,4023,49.89,51.66,50.95,54.21,1006,,,91,4.61,100,,1.71,,,,100,701,Mist,mist,50n
1641088800,2022-01-02 02:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,53.33,4023,51.06,52.68,51.96,54.95,1004,,,92,8.01,21,8.99,1.16,,,,100,501,Rain,moderate rain,10n
1641088800,2022-01-02 02:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,53.33,4023,51.06,52.68,51.96,54.95,1004,,,92,8.01,21,8.99,1.16,,,,100,701,Mist,mist,50n
1641092400,2022-01-02 03:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,53.53,4023,51.26,52.9,52.14,54.21,1003,,,92,8.01,340,11.99,3.81,6.6,,,100,502,Rain,heavy intensity rain,10n
1641092400,2022-01-02 03:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,53.53,4023,51.26,52.9,52.14,54.21,1003,,,92,8.01,340,11.99,3.81,6.6,,,100,701,Mist,mist,50n
1641096000,2022-01-02 04:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,53.1,4828,50.83,52.43,50.95,54.21,1002,,,92,4.61,70,,8.6,,,,100,502,Rain,heavy intensity rain,10n
1641096000,2022-01-02 04:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,53.1,4828,50.83,52.43,50.95,54.21,1002,,,92,4.61,70,,8.6,,,,100,701,Mist,mist,50n
1641099600,2022-01-02 05:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,52.79,10000,50.54,52.09,51.15,54.21,1002,,,92,14,44,18.01,0.94,,,,100,500,Rain,light rain,10n
1641103200,2022-01-02 06:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,52.65,9656,50.4,51.93,51.15,54.21,1000,,,92,8.05,90,,0.41,,,,100,500,Rain,light rain,10n
1641103200,2022-01-02 06:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,52.65,9656,50.4,51.93,51.15,54.21,1000,,,92,8.05,90,,0.41,,,,100,701,Mist,mist,50n
1641106800,2022-01-02 07:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,52.39,2816,50.14,51.66,50.16,54.21,1000,,,92,1.01,135,1.99,0.25,,,,100,701,Mist,mist,50n
1641106800,2022-01-02 07:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,52.39,2816,50.14,51.66,50.16,54.21,1000,,,92,1.01,135,1.99,0.25,,,,100,500,Rain,light rain,10n
