dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,weather_desc_broken clouds,weather_desc_few clouds,weather_desc_fog,weather_desc_haze,weather_desc_heavy intensity rain,weather_desc_heavy snow,weather_desc_light rain,weather_desc_light snow,weather_desc_mist,weather_desc_moderate rain,weather_desc_overcast clouds,weather_desc_scattered clouds,weather_desc_sky is clear,weather_desc_snow,weather_desc_thunderstorm,weather_desc_thunderstorm with heavy rain,weather_desc_thunderstorm with light rain,weather_desc_thunderstorm with rain,weather_desc_very heavy rain
2022-01-01 00:00:00 +0000 UTC,49.91,47.95,52.14,1014,86,5.01,198,8.01,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-01 01:00:00 +0000 UTC,49.91,47.95,52.14,1014,87,4.0,198,8.01,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-01 02:00:00 +0000 UTC,50.41,48.96,52.14,1013,85,3.44,260,,100,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 03:00:00 +0000 UTC,49.75,47.95,52.14,1013,87,5.01,146,5.99,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-01 04:00:00 +0000 UTC,49.75,47.95,52.14,1013,88,5.01,167,5.01,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-01 05:00:00 +0000 UTC,49.73,47.97,51.94,1013,89,5.01,150,7.0,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-01 06:00:00 +0000 UTC,49.48,47.95,51.94,1013,89,5.01,149,15.01,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-01 07:00:00 +0000 UTC,50.05,48.94,52.14,1012,89,3.0,132,3.0,100,0.68,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 08:00:00 +0000 UTC,50.32,48.96,52.14,1012,88,5.01,94,8.01,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-01 09:00:00 +0000 UTC,49.23,48.15,50.95,1011,89,10.0,119,11.99,100,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 10:00:00 +0000 UTC,49.77,48.15,50.95,1011,91,5.99,123,11.01,100,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-01 11:00:00 +0000 UTC,50.14,48.94,52.14,1010,90,10.0,159,13.0,100,0.25,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 11:00:00 +0000 UTC,50.14,48.94,52.14,1010,90,10.0,159,13.0,100,0.25,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-01 12:00:00 +0000 UTC,50.63,48.96,52.14,1010,91,5.01,180,5.01,100,0.25,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 12:00:00 +0000 UTC,50.63,48.96,52.14,1010,91,5.01,180,5.01,100,0.25,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-01 13:00:00 +0000 UTC,50.54,49.95,52.14,1010,90,11.99,128,15.01,100,0.85,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-01 13:00:00 +0000 UTC,50.54,49.95,52.14,1010,90,11.99,128,15.01,100,0.85,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2022-01-01 14:00:00 +0000 UTC,50.54,49.95,52.14,1010,90,8.01,152,11.01,100,0.64,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 15:00:00 +0000 UTC,51.89,50.97,52.95,1011,91,8.01,196,21.0,100,0.42,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 16:00:00 +0000 UTC,52.81,51.15,53.94,1010,91,11.99,136,20.0,100,0.38,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 17:00:00 +0000 UTC,53.53,51.15,54.95,1008,91,6.91,250,,100,0.38,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 18:00:00 +0000 UTC,54.63,51.98,55.17,1008,91,8.99,200,15.99,100,0.36,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 19:00:00 +0000 UTC,54.48,52.95,56.21,1007,92,5.01,186,8.01,100,0.25,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 19:00:00 +0000 UTC,54.48,52.95,56.21,1007,92,5.01,186,8.01,100,0.25,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-01 20:00:00 +0000 UTC,55.49,54.97,56.95,1007,95,1.99,192,3.0,100,0.61,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 21:00:00 +0000 UTC,55.11,53.15,56.95,1006,90,1.99,155,8.01,100,0.56,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 22:00:00 +0000 UTC,54.91,52.99,56.16,1006,90,0.0,0,,100,0.25,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 23:00:00 +0000 UTC,54.39,52.95,56.16,1006,91,3.44,300,,100,0.38,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-01 23:00:00 +0000 UTC,54.39,52.95,56.16,1006,91,3.44,300,,100,0.38,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 00:00:00 +0000 UTC,53.29,52.0,55.22,1006,91,3.44,40,,100,0.85,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 00:00:00 +0000 UTC,53.29,52.0,55.22,1006,91,3.44,40,,100,0.85,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 01:00:00 +0000 UTC,52.43,50.95,54.21,1006,91,4.61,100,,100,1.71,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2022-01-02 01:00:00 +0000 UTC,52.43,50.95,54.21,1006,91,4.61,100,,100,1.71,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 02:00:00 +0000 UTC,53.33,51.96,54.95,1004,92,8.01,21,8.99,100,1.16,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2022-01-02 02:00:00 +0000 UTC,53.33,51.96,54.95,1004,92,8.01,21,8.99,100,1.16,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 03:00:00 +0000 UTC,53.53,52.14,54.21,1003,92,8.01,340,11.99,100,3.81,6.6,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 03:00:00 +0000 UTC,53.53,52.14,54.21,1003,92,8.01,340,11.99,100,3.81,6.6,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 04:00:00 +0000 UTC,53.1,50.95,54.21,1002,92,4.61,70,,100,8.6,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 04:00:00 +0000 UTC,53.1,50.95,54.21,1002,92,4.61,70,,100,8.6,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 05:00:00 +0000 UTC,52.79,51.15,54.21,1002,92,14.0,44,18.01,100,0.94,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 06:00:00 +0000 UTC,52.65,51.15,54.21,1000,92,8.05,90,,100,0.41,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 06:00:00 +0000 UTC,52.65,51.15,54.21,1000,92,8.05,90,,100,0.41,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 07:00:00 +0000 UTC,52.39,50.16,54.21,1000,92,1.01,135,1.99,100,0.25,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 07:00:00 +0000 UTC,52.39,50.16,54.21,1000,92,1.01,135,1.99,100,0.25,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 08:00:00 +0000 UTC,52.54,50.16,53.94,1001,92,5.99,302,17.0,100,0.25,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 09:00:00 +0000 UTC,53.06,51.15,54.21,1001,92,10.0,316,11.99,100,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 10:00:00 +0000 UTC,52.63,51.15,53.94,1001,92,4.0,294,8.01,100,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 11:00:00 +0000 UTC,52.63,50.95,53.22,1001,93,1.99,0,5.01,100,0.34,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 11:00:00 +0000 UTC,52.63,50.95,53.22,1001,93,1.99,0,5.01,100,0.34,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 12:00:00 +0000 UTC,52.66,51.15,54.21,1001,93,4.61,260,,100,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 13:00:00 +0000 UTC,52.5,50.95,54.21,1001,93,4.0,288,4.0,100,0.25,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 13:00:00 +0000 UTC,52.5,50.95,54.21,1001,93,4.0,288,4.0,100,0.25,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 14:00:00 +0000 UTC,53.15,51.15,54.21,1002,91,5.99,216,13.0,100,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2022-01-02 15:00:00 +0000 UTC,53.87,51.94,54.95,1003,96,6.91,0,,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-02 16:00:00 +0000 UTC,54.54,52.14,55.22,1003,91,9.22,250,,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-02 17:00:00 +0000 UTC,55.53,53.98,56.21,1002,92,13.0,254,21.0,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-02 18:00:00 +0000 UTC,56.68,55.94,57.54,1002,90,9.22,240,,75,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 19:00:00 +0000 UTC,58.59,56.98,59.95,1003,85,11.01,269,20.0,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-02 20:00:00 +0000 UTC,54.57,52.95,55.74,1005,63,6.91,360,,75,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 21:00:00 +0000 UTC,51.66,49.95,53.94,1006,76,10.0,30,11.99,75,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02 22:00:00 +0000 UTC,51.91,50.95,52.14,1007,77,8.05,300,,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-02 23:00:00 +0000 UTC,48.29,47.95,48.97,1010,77,18.01,300,28.01,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-03 00:00:00 +0000 UTC,46.24,44.94,47.95,1011,72,21.99,297,30.0,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-03 01:00:00 +0000 UTC,41.68,39.54,44.01,1013,70,21.0,309,27.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-03 02:00:00 +0000 UTC,39.04,37.74,40.98,1013,71,17.0,327,25.01,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-03 03:00:00 +0000 UTC,38.37,36.97,40.15,1015,72,11.99,309,20.0,75,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 04:00:00 +0000 UTC,38.12,36.97,40.15,1015,71,8.99,324,15.99,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-03 05:00:00 +0000 UTC,37.83,36.95,39.22,1016,70,11.01,310,17.0,20,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 06:00:00 +0000 UTC,37.29,35.96,38.98,1017,69,8.05,290,,20,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 07:00:00 +0000 UTC,36.79,35.94,38.21,1019,69,13.0,299,15.99,75,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 08:00:00 +0000 UTC,36.63,35.94,37.98,1019,68,11.01,356,18.99,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-03 09:00:00 +0000 UTC,35.02,33.94,36.21,1019,67,15.99,1,27.0,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-03 10:00:00 +0000 UTC,34.36,32.95,36.21,1020,66,14.0,10,18.99,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-03 11:00:00 +0000 UTC,33.35,31.95,35.22,1019,68,20.0,358,24.0,75,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 12:00:00 +0000 UTC,32.31,30.54,34.21,1019,68,14.97,10,24.16,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-03 13:00:00 +0000 UTC,31.26,29.97,33.22,1020,60,25.99,28,38.01,20,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 14:00:00 +0000 UTC,31.33,29.95,33.22,1020,48,21.99,356,28.99,100,,,0.2,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 15:00:00 +0000 UTC,30.51,28.94,32.22,1021,45,15.99,359,25.01,100,,,0.56,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2022-01-03 16:00:00 +0000 UTC,30.02,28.74,31.95,1020,49,18.01,349,24.0,100,,,1.01,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2022-01-03 17:00:00 +0000 UTC,29.91,28.74,31.95,1019,46,13.0,340,18.99,100,,,0.92,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2022-01-03 18:00:00 +0000 UTC,29.52,28.74,31.21,1017,48,17.0,359,27.0,100,,,0.9,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2022-01-03 19:00:00 +0000 UTC,29.35,27.95,31.21,1017,52,20.0,325,25.99,100,,,0.45,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 20:00:00 +0000 UTC,28.42,26.94,29.95,1017,53,18.01,359,28.99,75,,,0.29,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 21:00:00 +0000 UTC,28.02,26.94,29.98,1017,52,17.0,11,25.01,20,,,0.22,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2022-01-03 22:00:00 +0000 UTC,28.02,26.94,29.98,1019,46,20.0,319,28.99,40,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-03 23:00:00 +0000 UTC,27.52,26.94,29.21,1020,42,15.01,352,32.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 00:00:00 +0000 UTC,27.27,26.94,29.21,1021,41,14.0,320,21.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 01:00:00 +0000 UTC,26.49,25.14,27.99,1022,48,15.99,312,28.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 02:00:00 +0000 UTC,25.52,24.94,26.98,1023,52,13.0,339,18.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 03:00:00 +0000 UTC,24.3,23.95,25.95,1023,59,8.05,350,18.41,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 04:00:00 +0000 UTC,23.79,22.95,25.21,1024,62,18.99,330,25.01,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 05:00:00 +0000 UTC,22.82,21.54,24.98,1024,63,14.0,335,24.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
